timestamp,open,high,low,close,symbol
2018-06-12,1.028,1.0779,0.9258,0.9695,
2018-06-13,0.9692,0.9806,0.8677,0.9492,
2018-06-14,0.9511,0.9627,0.9004,0.949,
2018-06-15,0.943,0.9494,0.886,0.9238,
2018-06-16,0.9249,0.97,0.9069,0.9161,
2018-06-17,0.9156,0.9174,0.8298,0.8645,
2018-06-18,0.8579,0.9189,0.8204,0.8957,
2018-06-19,0.898,0.9706,0.8956,0.9299,
2018-06-20,0.9319,1.095,0.9108,1.0789,
2018-06-21,1.0764,1.0855,0.96,1.0312,
2018-06-22,1.0301,1.0479,0.914,0.9313,
2018-06-23,0.9376,0.9531,0.9153,0.945,
2018-06-24,0.945,1.0346,0.9405,1.028,
2018-06-25,1.026,1.077,1.0098,1.063,
2018-06-26,1.062,1.1092,1.0451,1.06,
2018-06-27,1.0578,1.1067,1.0127,1.0966,
2018-06-28,1.1029,1.1092,1.0238,1.0281,
2018-06-29,1.0281,1.0699,1.01,1.0573,
2018-06-30,1.0504,1.1458,1.0504,1.1016,
2018-07-01,1.1015,1.15,1.0901,1.1155,
2018-07-02,1.1156,1.1793,1.101,1.1427,
2018-07-03,1.1417,1.1797,1.139,1.1404,
2018-07-04,1.1391,1.3098,1.139,1.2072,
2018-07-05,1.2024,1.2734,1.1982,1.2627,
2018-07-06,1.2627,1.3954,1.256,1.3666,
2018-07-07,1.365,1.3701,1.234,1.3198,
2018-07-08,1.319,1.348,1.286,1.3068,
2018-07-09,1.3099,1.3673,1.3037,1.3435,
2018-07-10,1.3435,1.3631,1.2575,1.261,
2018-07-11,1.261,1.3175,1.261,1.2885,
2018-07-12,1.2981,1.3531,1.2711,1.347,
2018-07-13,1.3495,1.39,1.3214,1.3348,
2018-07-14,1.336,1.3774,1.3301,1.36,
2018-07-15,1.3642,1.3723,1.3456,1.3511,
2018-07-16,1.3511,1.3669,1.2748,1.3,
2018-07-17,1.3,1.3317,1.2668,1.3036,
2018-07-18,1.3034,1.3571,1.2919,1.342,
2018-07-19,1.3491,1.388,1.3138,1.3371,
2018-07-20,1.343,1.3841,1.2971,1.3364,
2018-07-21,1.3364,1.38,1.3136,1.3399,
2018-07-22,1.3399,1.3554,1.3229,1.3377,
2018-07-23,1.3305,1.3787,1.3214,1.333,
2018-07-24,1.3369,1.4,1.3212,1.3745,
2018-07-25,1.3741,1.3761,1.1984,1.269,
2018-07-26,1.2691,1.3339,1.2389,1.2504,
2018-07-27,1.2455,1.2836,1.1909,1.217,
2018-07-28,1.2213,1.2398,1.123,1.1559,
2018-07-29,1.1582,1.2444,1.15,1.2127,
2018-07-30,1.2185,1.31,1.2092,1.2963,
2018-07-31,1.2992,1.3,1.1344,1.1723,
2018-08-01,1.1648,1.23,0.5905,1.1354,
2018-08-02,1.1354,1.1577,1.0544,1.0544,
2018-08-03,1.0577,1.2669,1.0075,1.1718,
2018-08-04,1.172,1.216,1.1378,1.1852,
2018-08-05,1.1852,1.3156,1.1723,1.2942,
2018-08-06,1.2937,1.3902,1.2479,1.3689,
2018-08-07,1.369,1.583,1.099,1.312,
2018-08-08,1.3123,1.3387,1.2037,1.2507,
2018-08-09,1.2502,1.3104,1.1672,1.1736,
2018-08-10,1.176,1.23,1.1537,1.174,
2018-08-11,1.1726,1.1848,1.0719,1.1293,
2018-08-12,1.1293,1.1856,1.1029,1.1186,
2018-08-13,1.129,1.2115,1.1138,1.1589,
2018-08-14,1.1574,1.2514,1.1079,1.2514,
2018-08-15,1.2514,1.4333,1.149,1.3974,
2018-08-16,1.3925,1.5099,1.3597,1.4253,
2018-08-17,1.4107,1.4122,1.3113,1.331,
2018-08-18,1.331,1.3776,1.3155,1.3336,
2018-08-19,1.3336,1.345,1.3053,1.3056,
