timestamp,open,high,low,close,symbol
2018-05-22,0.01,0.01,0.01,0.01,
2019-03-13,132.17,132.43,129.99,131.04,
2019-03-14,131.01,134.3,129.06,131.39,
2019-03-15,131.56,136.54,131.56,135.25,
2019-03-16,135.83,143.27,134.1,140.4,
2019-03-17,139.91,140.01,136.4,137.88,
2019-03-18,137.79,140.63,135.75,137.23,
2019-03-19,136.96,138.42,136.24,138.0,
2019-03-20,137.79,139.13,135.48,138.77,
2019-03-21,138.75,139.08,132.05,134.56,
2019-03-22,134.65,136.98,134.0,135.84,
2019-03-23,135.56,137.84,135.33,136.42,
2019-03-24,136.59,136.59,134.29,135.41,
2019-03-25,135.4,136.1,131.21,133.22,
2019-03-26,133.3,133.93,131.51,133.25,
2019-03-27,133.33,139.5,133.3,139.14,
2019-03-28,139.14,139.14,136.79,137.76,
2019-03-29,137.43,143.29,135.47,142.5,
2019-03-30,143.02,145.4,140.08,142.06,
2019-03-31,141.84,141.84,140.23,141.2,
2019-04-01,141.2,143.06,139.03,141.38,
2019-04-02,141.17,167.27,133.64,164.64,
2019-04-03,164.6,179.8,151.02,161.21,
2019-04-04,161.21,165.34,153.16,157.84,
2019-04-05,158.27,170.0,156.62,165.79,
2019-04-06,165.48,173.27,159.4,165.36,
2019-04-07,165.89,176.63,164.36,174.87,
2019-04-08,174.85,187.19,174.07,180.64,
2019-04-09,180.48,180.82,174.22,175.9,
2019-04-10,175.94,185.25,170.5,177.85,
2019-04-11,177.88,178.08,160.01,165.2,
2019-04-12,164.72,167.6,159.07,164.15,
2019-04-13,164.0,166.16,162.22,163.96,
2019-04-14,163.64,169.0,162.01,168.19,
2019-04-15,168.75,169.0,156.07,160.62,
2019-04-16,160.21,167.88,159.64,166.44,
2019-04-17,166.44,168.22,164.8,166.62,
2019-04-18,166.41,176.0,166.3,174.04,
2019-04-19,173.59,174.32,169.49,173.27,
2019-04-20,173.3,178.0,170.86,173.71,
2019-04-21,174.04,174.5,166.35,170.1,
2019-04-22,170.13,173.6,168.5,171.56,
2019-04-23,171.41,181.0,0.03,170.78,
2019-04-24,170.02,170.9,159.46,165.89,
2019-04-25,165.23,166.0,146.53,151.83,
2019-04-26,151.78,154.25,139.16,151.66,
2019-04-27,151.95,157.3,151.03,155.26,
2019-04-28,155.26,156.11,152.35,152.99,
2019-04-29,152.99,154.47,146.67,152.08,
2019-04-30,152.29,160.78,152.23,160.23,
2019-05-01,160.39,162.9,156.2,157.6,
2019-05-02,158.19,160.15,156.05,158.79,
2019-05-03,158.75,169.0,157.65,164.86,
2019-05-04,164.95,168.27,157.59,162.0,
2019-05-05,162.48,163.68,157.32,161.13,
2019-05-06,161.22,175.98,157.58,171.18,
2019-05-07,171.79,180.99,165.38,165.97,
2019-05-08,165.97,171.9,162.25,169.29,
2019-05-09,168.87,172.3,159.0,169.42,
2019-05-10,169.42,175.08,166.69,171.6,
2019-05-11,171.7,205.01,170.0,190.0,
2019-05-12,190.0,205.09,175.42,187.7,
2019-05-13,187.19,208.57,184.77,196.48,
2019-05-14,196.4,228.4,195.04,217.07,
2019-05-15,217.31,251.3,210.5,248.79,
2019-05-16,249.7,280.0,240.0,265.26,
2019-05-17,264.41,269.69,223.26,244.68,
2019-05-18,244.8,250.0,231.46,234.27,
2019-05-19,233.85,265.15,232.3,261.0,
2019-05-20,260.6,260.6,235.1,253.02,
2019-05-21,252.26,265.11,247.86,255.06,
2019-05-22,254.83,261.76,240.2,243.47,
2019-05-23,243.37,248.2,231.64,245.78,
2019-05-24,245.79,255.88,242.49,249.88,
2019-05-25,249.58,258.99,248.57,252.1,
2019-05-26,251.84,271.13,246.51,267.92,
2019-05-27,268.01,279.9,257.64,271.25,
2019-05-28,271.48,276.32,265.04,271.48,
2019-05-29,271.52,274.2,259.9,269.44,
2019-05-30,269.51,288.94,237.54,254.62,
2019-05-31,254.73,268.85,244.8,268.34,
2019-06-01,268.48,275.02,260.96,264.89,
2019-06-02,264.27,273.9,264.27,269.82,
2019-06-03,269.29,270.55,247.0,249.66,
2019-06-04,249.66,250.56,230.86,240.45,
2019-06-05,240.78,249.0,237.76,246.16,
2019-06-06,245.76,251.66,235.04,248.61,
2019-06-07,249.62,254.03,244.07,250.9,
2019-06-08,249.77,251.41,241.79,244.37,
