timestamp,open,high,low,close,symbol
2017-10-31,5.5e-07,7.1e-07,4.1e-07,4.1e-07,
2017-11-01,4.2e-07,4.2e-07,3.7e-07,3.7e-07,
2017-11-02,3.7e-07,3.8e-07,2.6e-07,3.4e-07,
2017-11-03,3.3e-07,3.5e-07,2.9e-07,3.2e-07,
2017-11-04,3.4e-07,3.4e-07,2.9e-07,2.9e-07,
2017-11-05,3e-07,3.4e-07,2.9e-07,3e-07,
2017-11-06,3e-07,3.3e-07,3e-07,3.2e-07,
2017-11-07,3.2e-07,3.4e-07,3.1e-07,3.2e-07,
2017-11-08,3.2e-07,3.4e-07,2.8e-07,3.3e-07,
2017-11-09,3.2e-07,3.4e-07,3e-07,3.3e-07,
2017-11-10,3.3e-07,3.3e-07,2.7e-07,3e-07,
2017-11-11,3e-07,3.2e-07,2.9e-07,3.1e-07,
2017-11-12,3.1e-07,3.3e-07,2.7e-07,3e-07,
2017-11-13,3e-07,3.4e-07,3e-07,3.2e-07,
2017-11-14,3.2e-07,4.1e-07,3.1e-07,3.7e-07,
2017-11-15,3.7e-07,3.9e-07,3e-07,3.2e-07,
2017-11-16,3.2e-07,3.3e-07,2.3e-07,2.7e-07,
2017-11-17,2.8e-07,2.8e-07,2.5e-07,2.6e-07,
2017-11-18,2.6e-07,2.8e-07,2.4e-07,2.6e-07,
2017-11-19,2.6e-07,2.8e-07,2.3e-07,2.4e-07,
2017-11-20,2.5e-07,2.8e-07,2.3e-07,2.6e-07,
2017-11-21,2.6e-07,2.8e-07,2.5e-07,2.7e-07,
2017-11-22,2.6e-07,3.2e-07,2.6e-07,2.7e-07,
2017-11-23,2.9e-07,3.2e-07,2.3e-07,2.5e-07,
2017-11-24,2.6e-07,2.7e-07,2.3e-07,2.5e-07,
2017-11-25,2.5e-07,2.5e-07,2.2e-07,2.3e-07,
2017-11-26,2.3e-07,2.5e-07,2.1e-07,2.3e-07,
2017-11-27,2.3e-07,2.4e-07,2e-07,2.2e-07,
2017-11-28,2.2e-07,2.5e-07,2.1e-07,2.4e-07,
2017-11-29,2.4e-07,2.5e-07,1.9e-07,2.1e-07,
2017-11-30,2.1e-07,2.3e-07,2e-07,2.3e-07,
2017-12-01,2.3e-07,2.3e-07,1.8e-07,1.9e-07,
2017-12-02,2e-07,2e-07,1.8e-07,1.9e-07,
2017-12-03,1.9e-07,2e-07,1.8e-07,1.9e-07,
2017-12-04,1.9e-07,1.9e-07,1.7e-07,1.8e-07,
2017-12-05,1.8e-07,1.9e-07,1.7e-07,1.8e-07,
2017-12-06,1.7e-07,3.6e-07,1.7e-07,2.3e-07,
2017-12-07,2.3e-07,4.1e-07,2.1e-07,2.3e-07,
2017-12-08,2.3e-07,2.7e-07,1.8e-07,2.6e-07,
2017-12-09,2.6e-07,3.2e-07,2.4e-07,2.9e-07,
2017-12-10,2.8e-07,3.2e-07,2.5e-07,2.8e-07,
2017-12-11,2.8e-07,3.1e-07,2.7e-07,3e-07,
2017-12-12,3e-07,4.5e-07,2.9e-07,4.4e-07,
2017-12-13,4.3e-07,1.15e-06,4e-07,9.5e-07,
2017-12-14,9.4e-07,1.23e-06,7.7e-07,1.02e-06,
2017-12-15,1.02e-06,1.03e-06,6.7e-07,9.9e-07,
2017-12-16,9.8e-07,2.2e-06,9.6e-07,1.86e-06,
2017-12-17,1.85e-06,2.13e-06,1.6e-06,1.82e-06,
2017-12-18,1.82e-06,2.78e-06,1.65e-06,2.32e-06,
2017-12-19,2.32e-06,2.5e-06,2.2e-06,2.37e-06,
2017-12-20,2.37e-06,3.03e-06,1.35e-06,3.03e-06,
2017-12-21,3.03e-06,4.34e-06,2.55e-06,2.93e-06,
2017-12-22,2.93e-06,3.04e-06,1.71e-06,2.59e-06,
2017-12-23,2.58e-06,3.79e-06,2.36e-06,3.35e-06,
2017-12-24,3.35e-06,3.45e-06,2.54e-06,2.63e-06,
2017-12-25,2.63e-06,2.9e-06,2.23e-06,2.3e-06,
2017-12-26,2.3e-06,3.25e-06,2e-06,2.32e-06,
2017-12-27,2.32e-06,2.63e-06,2.17e-06,2.3e-06,
2017-12-28,2.3e-06,2.84e-06,2.16e-06,2.8e-06,
2017-12-29,2.8e-06,2.98e-06,2.35e-06,2.44e-06,
2017-12-30,2.44e-06,3.07e-06,2.36e-06,2.81e-06,
2017-12-31,2.8e-06,3.24e-06,2.53e-06,3.18e-06,
2018-01-01,3.19e-06,3.93e-06,3.08e-06,3.81e-06,
2018-01-02,3.81e-06,6.44e-06,3.58e-06,5.28e-06,
2018-01-03,5.28e-06,6.39e-06,4.45e-06,6.31e-06,
2018-01-04,6.31e-06,1.476e-05,6.28e-06,1.355e-05,
2018-01-05,1.355e-05,2.047e-05,1.001e-05,1.32e-05,
2018-01-06,1.32e-05,1.398e-05,7.47e-06,9.95e-06,
2018-01-07,9.95e-06,1.27e-05,8.94e-06,1.25e-05,
2018-01-08,1.248e-05,1.307e-05,8.94e-06,1.009e-05,
2018-01-09,1.009e-05,1.023e-05,6.9e-06,8.56e-06,
2018-01-10,8.56e-06,9.64e-06,7.05e-06,8.85e-06,
2018-01-11,8.84e-06,8.86e-06,7.21e-06,8.15e-06,
2018-01-12,8.15e-06,8.29e-06,7.7e-06,7.88e-06,
2018-01-13,7.88e-06,8.62e-06,7.02e-06,7.2e-06,
2018-01-14,7.19e-06,7.73e-06,6.1e-06,6.24e-06,
2018-01-15,6.23e-06,7.18e-06,4.79e-06,5.57e-06,
2018-01-16,5.58e-06,5.74e-06,3.82e-06,4.71e-06,
2018-01-17,4.72e-06,7.9e-06,4.43e-06,6.91e-06,
2018-01-18,6.91e-06,9.45e-06,6.55e-06,7.34e-06,
2018-01-19,7.34e-06,7.59e-06,6.56e-06,7e-06,
2018-01-20,7.01e-06,7.09e-06,6.32e-06,6.61e-06,
2018-01-21,6.62e-06,6.79e-06,6.06e-06,6.22e-06,
2018-01-22,6.22e-06,7.27e-06,6.07e-06,6.63e-06,
2018-01-23,6.62e-06,6.65e-06,6.23e-06,6.32e-06,
2018-01-24,6.32e-06,6.75e-06,5.88e-06,6.26e-06,
2018-01-25,6.26e-06,6.42e-06,6.07e-06,6.13e-06,
2018-01-26,6.14e-06,6.18e-06,5.68e-06,5.99e-06,
2018-01-27,5.99e-06,6.32e-06,5.85e-06,6.05e-06,
2018-01-28,6.04e-06,6.07e-06,5.52e-06,5.59e-06,
2018-01-29,5.59e-06,5.89e-06,5.58e-06,5.7e-06,
2018-01-30,5.7e-06,5.71e-06,5.17e-06,5.38e-06,
2018-01-31,5.4e-06,5.5e-06,5.15e-06,5.39e-06,
2018-02-01,5.39e-06,5.84e-06,4.9e-06,5.06e-06,
2018-02-02,5.06e-06,5.06e-06,3.93e-06,4.72e-06,
2018-02-03,4.72e-06,5.26e-06,4.42e-06,4.96e-06,
2018-02-04,4.95e-06,5.04e-06,4.5e-06,4.63e-06,
2018-02-05,4.63e-06,4.76e-06,4.16e-06,4.38e-06,
2018-02-06,4.37e-06,4.75e-06,3.97e-06,4.69e-06,
2018-02-07,4.69e-06,4.72e-06,4.27e-06,4.29e-06,
2018-02-08,4.29e-06,4.47e-06,4.28e-06,4.42e-06,
2018-02-09,4.42e-06,5.55e-06,4.34e-06,5.36e-06,
2018-02-10,5.36e-06,6.23e-06,5.25e-06,5.64e-06,
2018-02-11,5.63e-06,5.65e-06,4.96e-06,5.21e-06,
2018-02-12,5.2e-06,5.44e-06,5.14e-06,5.16e-06,
2018-02-13,5.16e-06,5.19e-06,4.97e-06,5.07e-06,
2018-02-14,5.06e-06,5.08e-06,4.84e-06,4.85e-06,
2018-02-15,4.85e-06,4.86e-06,4.53e-06,4.62e-06,
2018-02-16,4.62e-06,5.3e-06,4.61e-06,5.15e-06,
2018-02-17,5.16e-06,5.16e-06,4.85e-06,4.99e-06,
2018-02-18,4.99e-06,4.99e-06,4.68e-06,4.72e-06,
2018-02-19,4.73e-06,4.9e-06,4.59e-06,4.62e-06,
2018-02-20,4.62e-06,4.62e-06,4.03e-06,4.14e-06,
2018-02-21,4.15e-06,4.38e-06,4.06e-06,4.22e-06,
2018-02-22,4.21e-06,4.3e-06,3.98e-06,4.05e-06,
2018-02-23,4.06e-06,4.22e-06,4.02e-06,4.18e-06,
2018-02-24,4.18e-06,4.48e-06,4.14e-06,4.2e-06,
2018-02-25,4.2e-06,4.25e-06,4.12e-06,4.16e-06,
2018-02-26,4.15e-06,4.2e-06,4.03e-06,4.04e-06,
2018-02-27,4.04e-06,4.06e-06,3.86e-06,4e-06,
2018-02-28,4.01e-06,4.41e-06,3.88e-06,4.21e-06,
2018-03-01,4.22e-06,4.57e-06,4.07e-06,4.49e-06,
2018-03-02,4.49e-06,5.15e-06,4.2e-06,4.8e-06,
2018-03-03,4.8e-06,4.81e-06,4.15e-06,4.26e-06,
2018-03-04,4.26e-06,4.4e-06,4.13e-06,4.14e-06,
2018-03-05,4.15e-06,4.18e-06,4.02e-06,4.05e-06,
2018-03-06,4.04e-06,4.25e-06,4.02e-06,4.09e-06,
2018-03-07,4.08e-06,4.15e-06,3.4e-06,3.9e-06,
2018-03-08,3.91e-06,3.97e-06,3.82e-06,3.9e-06,
2018-03-09,3.9e-06,4.06e-06,3.6e-06,4e-06,
2018-03-10,4e-06,4.06e-06,3.9e-06,3.95e-06,
2018-03-11,3.95e-06,4.09e-06,3.91e-06,4.05e-06,
2018-03-12,4.05e-06,4.07e-06,3.88e-06,3.96e-06,
2018-03-13,3.95e-06,3.96e-06,3.83e-06,3.9e-06,
2018-03-14,3.91e-06,3.93e-06,3.75e-06,3.78e-06,
2018-03-15,3.77e-06,3.78e-06,3.62e-06,3.65e-06,
2018-03-16,3.65e-06,3.7e-06,3.56e-06,3.63e-06,
2018-03-17,3.63e-06,3.69e-06,3.57e-06,3.57e-06,
2018-03-18,3.58e-06,3.69e-06,3.15e-06,3.54e-06,
2018-03-19,3.54e-06,3.89e-06,3.49e-06,3.81e-06,
2018-03-20,3.8e-06,4.58e-06,3.75e-06,4.32e-06,
2018-03-21,4.31e-06,4.45e-06,4.09e-06,4.18e-06,
2018-03-22,4.18e-06,4.42e-06,4.02e-06,4.39e-06,
2018-03-23,4.39e-06,4.73e-06,4.18e-06,4.68e-06,
2018-03-24,4.68e-06,6.06e-06,4.6e-06,5.8e-06,
2018-03-25,5.79e-06,5.85e-06,5.2e-06,5.35e-06,
2018-03-26,5.35e-06,5.57e-06,4.86e-06,5.39e-06,
2018-03-27,5.39e-06,5.77e-06,5.14e-06,5.51e-06,
2018-03-28,5.53e-06,6.33e-06,5.48e-06,6.19e-06,
2018-03-29,6.18e-06,6.74e-06,5.91e-06,6.04e-06,
2018-03-30,6.04e-06,6.37e-06,5.63e-06,6.02e-06,
2018-03-31,6.02e-06,6.14e-06,4.75e-06,4.89e-06,
2018-04-01,4.9e-06,4.98e-06,4.36e-06,4.73e-06,
2018-04-02,4.72e-06,5.1e-06,4.43e-06,5.08e-06,
2018-04-03,5.08e-06,5.11e-06,4.57e-06,4.68e-06,
2018-04-04,4.68e-06,4.75e-06,4.33e-06,4.41e-06,
2018-04-05,4.41e-06,6.89e-06,4.37e-06,5.82e-06,
2018-04-06,5.81e-06,6.48e-06,5.41e-06,5.53e-06,
2018-04-07,5.53e-06,5.58e-06,5.02e-06,5.33e-06,
2018-04-08,5.33e-06,5.5e-06,5.24e-06,5.34e-06,
2018-04-09,5.33e-06,5.36e-06,4.97e-06,5.27e-06,
2018-04-10,5.27e-06,5.58e-06,5.14e-06,5.39e-06,
2018-04-11,5.4e-06,5.46e-06,5.17e-06,5.2e-06,
2018-04-12,5.21e-06,5.34e-06,4.85e-06,5.06e-06,
2018-04-13,5.06e-06,5.29e-06,4.9e-06,4.95e-06,
2018-04-14,4.96e-06,5.19e-06,4.88e-06,5.04e-06,
2018-04-15,5.05e-06,5.3e-06,5.02e-06,5.16e-06,
2018-04-16,5.17e-06,5.28e-06,5.06e-06,5.11e-06,
2018-04-17,5.12e-06,5.44e-06,5.08e-06,5.31e-06,
